{'time': 1731580463.3012903, 'action': 'go', 'cumulative_go': 0.5958349704742432, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (44, 178), 'contour_R_center': (580, 39), 'slope_L': -1.876923076923077, 'slope_R': 1.2419354838709677}
{'time': 1731580463.3449795, 'action': 'go', 'cumulative_go': 0.6394665241241455, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580463.3918293, 'action': 'go', 'cumulative_go': 0.6862967014312744, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580463.4407644, 'action': 'go', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (81, 51), 'contour_R_center': (615, 118), 'slope_L': -1.391304347826087, 'slope_R': 1.4146341463414633}
{'time': 1731580463.4835346, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.511193037033081, 'contour_L_center': (None, None), 'contour_R_center': (607, 155), 'slope_L': None, 'slope_R': 1.9649122807017543}
{'time': 1731580463.5291052, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.5567536354064941, 'contour_L_center': (None, None), 'contour_R_center': (604, 159), 'slope_L': None, 'slope_R': 1.8064516129032258}
{'time': 1731580463.5764425, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.6040832996368408, 'contour_L_center': (None, None), 'contour_R_center': (597, 120), 'slope_L': None, 'slope_R': 1.4285714285714286}
{'time': 1731580463.6206717, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.6483063697814941, 'contour_L_center': (None, None), 'contour_R_center': (523, 32), 'slope_L': None, 'slope_R': 1.1607142857142858}
{'time': 1731580463.666902, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.6945304870605469, 'contour_L_center': (None, None), 'contour_R_center': (584, 148), 'slope_L': None, 'slope_R': 1.7169811320754718}
{'time': 1731580463.7113898, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.7390103340148926, 'contour_L_center': (None, None), 'contour_R_center': (590, 159), 'slope_L': None, 'slope_R': 1.75}
{'time': 1731580463.7568266, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.7844407558441162, 'contour_L_center': (None, None), 'contour_R_center': (536, 50), 'slope_L': None, 'slope_R': 1.2307692307692308}
{'time': 1731580463.8013022, 'action': 'left', 'cumulative_go': 0.7352182865142822, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.8289101123809814, 'contour_L_center': (None, None), 'contour_R_center': (548, 94), 'slope_L': None, 'slope_R': 1.320754716981132}
{'time': 1731580463.8490314, 'action': 'go', 'cumulative_go': 0.7829360961914062, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.8289101123809814, 'contour_L_center': (44, 54), 'contour_R_center': (536, 75), 'slope_L': -1.6666666666666667, 'slope_R': 1.3294117647058823}
{'time': 1731580463.8941495, 'action': 'left', 'cumulative_go': 0.7829360961914062, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.8740220069885254, 'contour_L_center': (None, None), 'contour_R_center': (554, 87), 'slope_L': None, 'slope_R': 1.3225806451612903}
{'time': 1731580463.940539, 'action': 'left', 'cumulative_go': 0.7829360961914062, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.9204044342041016, 'contour_L_center': (None, None), 'contour_R_center': (541, 63), 'slope_L': None, 'slope_R': 1.3768115942028984}
{'time': 1731580463.9858437, 'action': 'left', 'cumulative_go': 0.7829360961914062, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 1.9657020568847656, 'contour_L_center': (None, None), 'contour_R_center': (567, 81), 'slope_L': None, 'slope_R': 1.4342105263157894}
{'time': 1731580464.040971, 'action': 'left', 'cumulative_go': 0.7829360961914062, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 2.020822525024414, 'contour_L_center': (None, None), 'contour_R_center': (590, 79), 'slope_L': None, 'slope_R': 1.4864864864864864}
{'time': 1731580464.0818002, 'action': 'go', 'cumulative_go': 0.823758602142334, 'cumulative_right': 1.1851096153259277, 'cumulative_left': 2.020822525024414, 'contour_L_center': (24, 137), 'contour_R_center': (582, 86), 'slope_L': -1.6176470588235294, 'slope_R': 1.3333333333333333}
{'time': 1731580464.125844, 'action': 'right', 'cumulative_go': 0.823758602142334, 'cumulative_right': 1.2291467189788818, 'cumulative_left': 2.020822525024414, 'contour_L_center': (85, 58), 'contour_R_center': (None, None), 'slope_L': -1.5294117647058822, 'slope_R': None}
{'time': 1731580464.1702342, 'action': 'go', 'cumulative_go': 0.8681392669677734, 'cumulative_right': 1.2291467189788818, 'cumulative_left': 2.020822525024414, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580464.2150984, 'action': 'go', 'cumulative_go': 0.9129910469055176, 'cumulative_right': 1.2291467189788818, 'cumulative_left': 2.020822525024414, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580464.2608697, 'action': 'right', 'cumulative_go': 0.9129910469055176, 'cumulative_right': 1.2749111652374268, 'cumulative_left': 2.020822525024414, 'contour_L_center': (52, 129), 'contour_R_center': (None, None), 'slope_L': -1.4, 'slope_R': None}
{'time': 1731580464.304796, 'action': 'right', 'cumulative_go': 0.9129910469055176, 'cumulative_right': 1.3188307285308838, 'cumulative_left': 2.020822525024414, 'contour_L_center': (87, 87), 'contour_R_center': (None, None), 'slope_L': -1.4736842105263157, 'slope_R': None}
{'time': 1731580464.3507135, 'action': 'right', 'cumulative_go': 0.9129910469055176, 'cumulative_right': 1.3647384643554688, 'cumulative_left': 2.020822525024414, 'contour_L_center': (61, 60), 'contour_R_center': (None, None), 'slope_L': -1.0, 'slope_R': None}
{'time': 1731580464.392618, 'action': 'go', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.3647384643554688, 'cumulative_left': 2.020822525024414, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580464.4303157, 'action': 'right', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.4024295806884766, 'cumulative_left': 2.020822525024414, 'contour_L_center': (69, 142), 'contour_R_center': (None, None), 'slope_L': -1.4130434782608696, 'slope_R': None}
{'time': 1731580464.4690545, 'action': 'right', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.441162109375, 'cumulative_left': 2.020822525024414, 'contour_L_center': (109, 84), 'contour_R_center': (None, None), 'slope_L': -1.528301886792453, 'slope_R': None}
{'time': 1731580464.510444, 'action': 'right', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.4825448989868164, 'cumulative_left': 2.020822525024414, 'contour_L_center': (121, 70), 'contour_R_center': (None, None), 'slope_L': -1.5, 'slope_R': None}
{'time': 1731580464.5508754, 'action': 'right', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.5229699611663818, 'cumulative_left': 2.020822525024414, 'contour_L_center': (89, 120), 'contour_R_center': (None, None), 'slope_L': -1.6, 'slope_R': None}
{'time': 1731580464.5872324, 'action': 'right', 'cumulative_go': 0.9548835754394531, 'cumulative_right': 1.5593202114105225, 'cumulative_left': 2.020822525024414, 'contour_L_center': (40, 199), 'contour_R_center': (None, None), 'slope_L': -1.6285714285714286, 'slope_R': None}
{'time': 1731580464.625149, 'action': 'go', 'cumulative_go': 0.9927926063537598, 'cumulative_right': 1.5593202114105225, 'cumulative_left': 2.020822525024414, 'contour_L_center': (46, 88), 'contour_R_center': (593, 35), 'slope_L': -1.16, 'slope_R': 1.15}
